Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR3667006_1	(18.0, 2.0)	(19.0, 5.0)	(20.0, 10.0)	(21.0, 35.0)	(22.0, 46.0)	(23.0, 94.0)	(24.0, 151.0)	(25.0, 217.0)	(26.0, 327.0)	(27.0, 447.0)	(28.0, 557.0)	(29.0, 723.0)	(30.0, 890.0)	(31.0, 1116.0)	(32.0, 1653.0)	(33.0, 2072.0)	(34.0, 2878.0)	(35.0, 4520.0)	(36.0, 10202.0)	(37.0, 64689.0)	(38.0, 16702.0)																
SRR3667006_2	(14.0, 1.0)	(15.0, 6.0)	(16.0, 56.0)	(17.0, 95.0)	(18.0, 108.0)	(19.0, 87.0)	(20.0, 88.0)	(21.0, 112.0)	(22.0, 143.0)	(23.0, 213.0)	(24.0, 338.0)	(25.0, 398.0)	(26.0, 470.0)	(27.0, 489.0)	(28.0, 609.0)	(29.0, 728.0)	(30.0, 879.0)	(31.0, 1178.0)	(32.0, 1532.0)	(33.0, 2049.0)	(34.0, 2953.0)	(35.0, 4623.0)	(36.0, 9126.0)	(37.0, 43010.0)	(38.0, 38045.0)												
SRR3667007_1	(15.0, 2.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 16.0)	(20.0, 30.0)	(21.0, 66.0)	(22.0, 123.0)	(23.0, 199.0)	(24.0, 316.0)	(25.0, 466.0)	(26.0, 630.0)	(27.0, 786.0)	(28.0, 1058.0)	(29.0, 1254.0)	(30.0, 1603.0)	(31.0, 2010.0)	(32.0, 2597.0)	(33.0, 3483.0)	(34.0, 4894.0)	(35.0, 7776.0)	(36.0, 17619.0)	(37.0, 125452.0)	(38.0, 28351.0)													
SRR3667007_2	(14.0, 2.0)	(15.0, 13.0)	(16.0, 131.0)	(17.0, 251.0)	(18.0, 228.0)	(19.0, 157.0)	(20.0, 185.0)	(21.0, 210.0)	(22.0, 286.0)	(23.0, 345.0)	(24.0, 426.0)	(25.0, 604.0)	(26.0, 786.0)	(27.0, 907.0)	(28.0, 1027.0)	(29.0, 1282.0)	(30.0, 1447.0)	(31.0, 1810.0)	(32.0, 2352.0)	(33.0, 3218.0)	(34.0, 4650.0)	(35.0, 7181.0)	(36.0, 14243.0)	(37.0, 80727.0)	(38.0, 76268.0)												
SRR3667008_1	(15.0, 6.0)	(16.0, 22.0)	(17.0, 53.0)	(18.0, 45.0)	(19.0, 82.0)	(20.0, 120.0)	(21.0, 237.0)	(22.0, 388.0)	(23.0, 566.0)	(24.0, 734.0)	(25.0, 979.0)	(26.0, 1235.0)	(27.0, 1540.0)	(28.0, 1932.0)	(29.0, 2329.0)	(30.0, 2865.0)	(31.0, 3478.0)	(32.0, 4395.0)	(33.0, 5939.0)	(34.0, 8461.0)	(35.0, 13094.0)	(36.0, 24613.0)	(37.0, 22730.0)														
SRR3667008_2	(12.0, 8.0)	(13.0, 48.0)	(14.0, 63.0)	(15.0, 95.0)	(16.0, 130.0)	(17.0, 182.0)	(18.0, 255.0)	(19.0, 329.0)	(20.0, 391.0)	(21.0, 462.0)	(22.0, 695.0)	(23.0, 831.0)	(24.0, 1233.0)	(25.0, 1627.0)	(26.0, 2212.0)	(27.0, 2990.0)	(28.0, 4117.0)	(29.0, 5636.0)	(30.0, 7238.0)	(31.0, 9508.0)	(32.0, 12694.0)	(33.0, 16366.0)	(34.0, 17458.0)	(35.0, 10236.0)	(36.0, 1039.0)												
SRR3667009_1	(30.0, 189545.0)																																				
SRR3667009_2	(30.0, 189545.0)																																				
SRR3667010_1	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 4.0)	(19.0, 9.0)	(20.0, 17.0)	(21.0, 64.0)	(22.0, 92.0)	(23.0, 178.0)	(24.0, 258.0)	(25.0, 422.0)	(26.0, 537.0)	(27.0, 689.0)	(28.0, 871.0)	(29.0, 1079.0)	(30.0, 1412.0)	(31.0, 1783.0)	(32.0, 2239.0)	(33.0, 2839.0)	(34.0, 4015.0)	(35.0, 6274.0)	(36.0, 14816.0)	(37.0, 100746.0)	(38.0, 17188.0)
SRR3667010_2	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 15.0)	(16.0, 76.0)	(17.0, 210.0)	(18.0, 249.0)	(19.0, 188.0)	(20.0, 231.0)	(21.0, 310.0)	(22.0, 408.0)	(23.0, 445.0)	(24.0, 549.0)	(25.0, 702.0)	(26.0, 888.0)	(27.0, 1053.0)	(28.0, 1245.0)	(29.0, 1414.0)	(30.0, 1628.0)	(31.0, 2084.0)	(32.0, 2506.0)	(33.0, 3390.0)	(34.0, 4728.0)	(35.0, 7652.0)	(36.0, 15173.0)	(37.0, 71062.0)	(38.0, 39327.0)
