Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR3667007_2	(1.0, 3.573585057563803)	(2.0, 0.6943885355446422)	(3.0, 0.3456847274776588)	(4.0, 0.20731020046695112)	(5.0, 0.19120843732388695)	(6.0, 0.11170598180500765)	(7.0, 0.14441268818935674)	(8.0, 0.09258513807261895)	(9.0, 0.1268013847516303)	('>10', 2.774535061589244)	('>50', 2.0590129619193305)	('>100', 21.257346429434023)	('>500', 15.446622655180741)	('>1k', 41.15258433298446)	('>5k', 11.822216407696642)	('>10k+', 0.0)
SRR3667008_1	(1.0, 23.849420406289454)	(2.0, 10.652838496290808)	(3.0, 7.722003693540477)	(4.0, 5.892970795989274)	(5.0, 4.627359327233079)	(6.0, 4.882985716223407)	(7.0, 4.236094446125435)	(8.0, 3.9397765094999113)	(9.0, 3.32418642989055)	('>10', 30.511357115282284)	('>50', 0.24414928581117037)	('>100', 0.11685777782414991)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667008_2	(1.0, 6.725582462986342)	(2.0, 1.462808968834448)	(3.0, 0.7261876193357888)	(4.0, 0.5008190478177853)	(5.0, 0.5008190478177853)	(6.0, 0.43195642874283985)	(7.0, 0.3797877779284872)	(8.0, 0.3004914286906712)	(9.0, 0.2253685715180034)	('>10', 7.352649645774862)	('>50', 5.914881629331302)	('>100', 23.2651315171687)	('>500', 20.726604968542304)	('>1k', 31.486910885510678)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667009_1	(1.0, 19.40119760479042)	(2.0, 11.1604104566198)	(3.0, 9.200453718114431)	(4.0, 7.561265134928381)	(5.0, 6.4338283784853205)	(6.0, 5.1533936532221905)	(7.0, 4.335645888839061)	(8.0, 3.6719512516816586)	(9.0, 3.176554380226331)	('>10', 29.04376269487457)	('>50', 0.8615368382178374)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667009_2	(1.0, 4.708116806035506)	(2.0, 0.9369806642222164)	(3.0, 0.6141021920915878)	(4.0, 0.5043657179034002)	(5.0, 0.37721913002189456)	(6.0, 0.21525231475375242)	(7.0, 0.22158326518768628)	(8.0, 0.16882534490490383)	(9.0, 0.19942493866891767)	('>10', 3.893534516869345)	('>50', 2.955498694241473)	('>100', 18.267429897913424)	('>500', 15.505552771109762)	('>1k', 39.010261415495)	('>5k', 12.421852330581128)	('>10k+', 0.0)
SRR3667010_1	(1.0, 28.328029060983056)	(2.0, 15.816375735365028)	(3.0, 10.19191821776449)	(4.0, 6.907769955315524)	(5.0, 5.018163114411547)	(6.0, 3.6686276400810103)	(7.0, 2.938888353103803)	(8.0, 2.5923425595525122)	(9.0, 2.0831324139261262)	('>10', 22.081846529719996)	('>50', 0.3729064197768991)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667010_2	(1.0, 4.593178384286495)	(2.0, 0.690519818690327)	(3.0, 0.2603915517407658)	(4.0, 0.19031086250683127)	(5.0, 0.13180313112804193)	(6.0, 0.14273314688012345)	(7.0, 0.16202140997203202)	(8.0, 0.16973671520879544)	(9.0, 0.11572957855145144)	('>10', 8.590992381136079)	('>50', 6.2403960523354876)	('>100', 22.690712701321246)	('>500', 25.19304336644485)	('>1k', 30.82843089979747)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667011_1	(1.0, 24.98233747582261)	(2.0, 12.741339572161545)	(3.0, 9.443948992946574)	(4.0, 7.0256309285275815)	(5.0, 5.628843770630407)	(6.0, 4.6594317879107265)	(7.0, 3.6969689950313294)	(8.0, 3.122502634901148)	(9.0, 2.2306899387313095)	('>10', 17.333595858282855)	('>50', 2.3575126533165007)	('>100', 4.320079684043502)	('>500', 1.8009983669403877)	('>1k', 0.6561193407535238)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667011_2	(1.0, 4.959405149349672)	(2.0, 1.1026047879918)	(3.0, 0.5507232948425429)	(4.0, 0.38683823444250126)	(5.0, 0.28086308937816334)	(6.0, 0.2849167834516626)	(7.0, 0.3080807495859441)	(8.0, 0.24090524779652772)	(9.0, 0.2970778656721604)	('>10', 7.778459827891732)	('>50', 4.509445107191254)	('>100', 28.050404790308196)	('>500', 25.025769912324385)	('>1k', 26.224505159773457)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667012_1	(1.0, 24.40690897055441)	(2.0, 11.605454922837861)	(3.0, 7.3627994906345196)	(4.0, 5.318044889235447)	(5.0, 3.971704410947992)	(6.0, 3.26150980865136)	(7.0, 2.7134370389485083)	(8.0, 2.2259495907685922)	(9.0, 2.1053399229220076)	('>10', 35.9781444062358)	('>50', 1.0507065482635014)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667012_2	(1.0, 3.913923965421489)	(2.0, 0.7584384694352663)	(3.0, 0.4291460274541263)	(4.0, 0.28273150044036555)	(5.0, 0.269268095657491)	(6.0, 0.28946320283180277)	(7.0, 0.23953641009530965)	(8.0, 0.2513168892803249)	(9.0, 0.30797538440825534)	('>10', 7.412165308171725)	('>50', 4.041826310858797)	('>100', 20.526082541890823)	('>500', 18.4420596765417)	('>1k', 30.77341650725621)	('>5k', 12.06264971025631)	('>10k+', 0.0)
SRR3667013_1	(1.0, 14.051245312007735)	(2.0, 8.017815449550945)	(3.0, 6.443858460396445)	(4.0, 5.260046005981641)	(5.0, 4.695544842884825)	(6.0, 4.10169652451998)	(7.0, 3.6765943489463075)	(8.0, 3.0728197868878637)	(9.0, 2.7305801673651002)	('>10', 33.513588164464906)	('>50', 12.770759875533535)	('>100', 1.6654510614607116)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667013_2	(1.0, 2.973557349951879)	(2.0, 0.6887949971731785)	(3.0, 0.4220811448843161)	(4.0, 0.22614572588893828)	(5.0, 0.18773547855283998)	(6.0, 0.1942091157443172)	(7.0, 0.16615668791458252)	(8.0, 0.1346516535827266)	(9.0, 0.12429383407636303)	('>10', 2.8583266079435843)	('>50', 2.368919636267905)	('>100', 11.551989780284753)	('>500', 11.221402707706648)	('>1k', 36.11210613312388)	('>5k', 25.357236879016355)	('>10k+', 5.412392267887738)
SRR3667014_1	(1.0, 22.021471966089827)	(2.0, 11.421666642691717)	(3.0, 8.067091502797878)	(4.0, 6.160603401566044)	(5.0, 4.859722561867361)	(6.0, 4.039299739632033)	(7.0, 3.3699191085154236)	(8.0, 2.784930304817527)	(9.0, 2.641080598990175)	('>10', 23.368384711653263)	('>50', 3.231343891901741)	('>100', 4.708200871729217)	('>500', 2.298718299121078)	('>1k', 1.027566398626715)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667014_2	(1.0, 4.988228299073128)	(2.0, 0.9455720663051245)	(3.0, 0.45456507041443095)	(4.0, 0.3375673096748517)	(5.0, 0.3380468086942762)	(6.0, 0.32222334105326755)	(7.0, 0.2920149028295237)	(8.0, 0.3107153645870794)	(9.0, 0.2546139793144123)	('>10', 5.9659267996796945)	('>50', 6.33897703679196)	('>100', 26.366692080114696)	('>500', 13.974998921127208)	('>1k', 39.10985802034035)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667015_1	(1.0, 16.3762134814612)	(2.0, 11.490341046153043)	(3.0, 10.286150175054276)	(4.0, 9.16149979462906)	(5.0, 7.820394964174181)	(6.0, 6.000743247207933)	(7.0, 5.202730455532302)	(8.0, 4.198694753587471)	(9.0, 3.438496293543529)	('>10', 25.488163462228048)	('>50', 0.37488346014173857)	('>100', 0.1616888662872194)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667015_2	(1.0, 3.5284683239775463)	(2.0, 0.7562866326337683)	(3.0, 0.38140317249202965)	(4.0, 0.25296483919129487)	(5.0, 0.1858118019832965)	(6.0, 0.14473761417646255)	(7.0, 0.1049673688396868)	(8.0, 0.135610016886055)	(9.0, 0.09975159895945392)	('>10', 2.03741010946597)	('>50', 2.4918340602812603)	('>100', 15.174630495302546)	('>500', 15.653829353048943)	('>1k', 55.36278939373195)	('>5k', 3.6895052190297366)	('>10k+', 0.0)
SRR3667016_1	(1.0, 12.974924425306106)	(2.0, 6.138187512233314)	(3.0, 5.2156325438768185)	(4.0, 4.75152780496292)	(5.0, 4.134316348056806)	(6.0, 4.011222026489202)	(7.0, 3.3157173615188884)	(8.0, 3.124768926295644)	(9.0, 2.932080642004306)	('>10', 36.33718274939649)	('>50', 5.982036058371936)	('>100', 5.560557621626324)	('>500', 1.7842152193297232)	('>1k', 3.737630760531524)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667016_2	(1.0, 3.491877079663339)	(2.0, 0.9160305343511451)	(3.0, 0.546747569648333)	(4.0, 0.41930362541049565)	(5.0, 0.2870750962354016)	(6.0, 0.2166112089776212)	(7.0, 0.2131315108414345)	(8.0, 0.18790369935408102)	(9.0, 0.21139166177334118)	('>10', 3.3866162110436924)	('>50', 3.941193101498445)	('>100', 7.33476870881451)	('>500', 9.351253778734694)	('>1k', 49.01111328592245)	('>5k', 20.484982927731018)	('>10k+', 0.0)
