	SRR3666998	SRR3666999	SRR3667000	SRR3667001	SRR3667002	SRR3667003	SRR3667004	SRR3667005	SRR3667006	SRR3667007	SRR3667010	SRR3667011	SRR3667012	SRR3667013	SRR3667014	SRR3667015	SRR3667016	SRR3667017	SRR3667018	SRR3667020	SRR3667021	SRR3667022	SRR3667023	SRR3667024	SRR3667025	SRR3667026	SRR3667027	SRR3667028	SRR3667029	SRR3667031	SRR3667032	SRR3667033	SRR3667034	SRR3667035	SRR3667036	SRR3667037	SRR3667038	SRR3667039	SRR3667040	SRR3667042	SRR3667043	SRR3667044	SRR3667045
ASV_0040	508	109	0	0	0	0	2043	0	0	0	0	237	0	0	2792	0	210	0	5	0	1310	1334	712	907	0	0	31	92	3722	0	484	0	0	0	1511	5228	1116	6	308	1765	37	0	0
ASV_0041	1191	257	0	0	0	0	914	0	865	2025	650	769	269	1142	425	0	132	27	3228	3918	261	442	2483	0	0	2	422	347	43	0	881	67	0	0	0	0	0	21	751	312	52	924	1524
ASV_0042	754	0	6927	4118	97	51	301	22	2755	4332	41	563	91	72	137	0	67	28	92	191	90	151	293	4	0	0	418	606	39	41	511	42	19	40	0	16	0	208	364	356	29	0	0
ASV_0043	541	507	533	404	0	0	79	0	158	523	0	296	0	35	86	0	6162	3706	0	0	26	219	239	0	689	36	56	71	104	0	322	0	0	116	7669	129	0	0	259	443	0	82	273
ASV_0044	359	0	0	0	0	0	849	1326	0	0	0	495	105	101	180	0	367	287	0	0	3	122	112	0	0	0	0	0	0	0	427	9071	8976	0	0	0	0	0	300	159	50	0	59
ASV_0045	918	0	2194	1482	348	509	903	0	9	0	1008	517	0	24	1014	0	245	34	256	119	477	888	904	0	1118	108	3121	1722	23	0	1008	224	359	28	488	0	0	0	532	1316	194	169	46
ASV_0046	491	0	0	0	95	18	560	0	0	27	249	249	0	0	69	1	30	0	2	15	28	163	177	0	0	2	307	423	0	35	299	8939	9514	0	0	0	3	0	313	170	0	0	5
ASV_0047	674	0	0	0	0	0	1330	30	0	0	5080	350	7762	0	1402	0	269	0	0	0	948	1411	494	0	26	26	0	0	396	48	453	0	18	12	0	42	0	0	307	966	0	0	0
ASV_0048	1102	30	0	24	19	6	639	0	871	1634	0	521	190	146	664	0	165	36	41	58	802	563	526	140	3980	432	118	199	1156	143	784	125	57	0	2216	1779	121	204	470	910	509	0	0
ASV_0049	667	0	0	0	7570	1893	423	0	0	0	552	400	0	0	255	0	4726	1964	8	0	132	362	274	4	0	0	0	0	24	0	559	0	0	0	0	0	0	0	423	252	0	0	0
ASV_0050	460	134	4167	2525	1195	1998	303	84	0	43	592	377	0	0	428	24	91	47	137	69	284	542	402	2	1391	167	296	32	29	281	413	227	209	0	0	37	7	0	474	416	39	733	1584
ASV_0051	332	429	1319	861	93	120	832	17	310	664	419	189	121	105	1144	0	60	0	73	227	315	553	302	261	506	94	38	134	1363	55	300	79	67	124	2670	2098	254	0	187	803	180	537	1396
ASV_0052	368	348	0	2	95	29	131	0	0	0	732	190	546	984	332	0	61	0	148	120	135	99	146	0	44	9	35	48	0	0	223	207	248	0	0	0	0	0	264	452	0	4343	8893
ASV_0053	1618	0	0	0	0	0	21	0	0	0	0	829	0	0	156	0	7033	6131	0	0	224	436	295	0	0	0	0	0	0	0	776	0	0	0	29	0	0	0	668	731	0	0	0
ASV_0054	0	989	0	0	13	0	427	1391	0	0	0	17	0	14	0	0	0	0	0	0	6133	9519	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	15	179	0	0	0
ASV_0055	349	0	0	0	0	9	945	0	0	0	0	150	0	0	910	0	128	0	0	0	784	1101	395	3509	0	0	0	5	1844	0	336	0	0	67	0	2820	4385	0	161	745	0	0	0
ASV_0056	362	0	4672	2577	3	0	54	0	0	0	563	310	0	0	112	0	0	0	0	0	88	441	182	0	6099	278	0	0	0	0	275	0	0	70	1573	0	0	0	236	66	0	70	172
ASV_0057	438	0	1074	903	0	0	453	59	0	0	0	252	585	419	805	0	300	0	145	381	475	819	1035	156	48	162	0	0	1866	0	526	0	0	0	0	2887	283	951	318	1262	1436	0	51
ASV_0058	921	0	0	0	0	0	204	0	0	0	0	693	0	0	64	0	26	0	0	0	34	173	170	0	2099	11595	0	0	0	0	835	0	0	0	0	0	0	0	741	428	0	0	0
ASV_0059	415	0	7588	5439	113	141	30	16	0	0	287	215	36	33	135	0	42	9	77	84	81	101	173	0	1738	387	0	0	20	0	320	0	0	112	0	0	0	12	151	109	87	0	0
ASV_0060	2	0	0	0	0	0	45	17718	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0061	503	0	0	0	0	0	2056	0	0	0	0	167	0	0	1501	0	201	0	0	0	908	1902	555	248	0	0	0	0	3164	0	346	0	0	0	0	4373	337	36	212	955	0	0	74
ASV_0062	10	557	3579	2663	16	0	69	0	0	0	460	13	0	0	124	0	26	0	0	0	27	40	70	0	0	0	0	0	0	42	22	0	0	0	8645	0	0	0	32	161	620	23	80
ASV_0063	448	0	0	0	0	0	1227	0	0	0	0	206	0	0	1388	0	197	0	0	0	836	580	2806	0	94	2297	0	0	1957	44	410	0	0	2524	0	192	240	0	205	1061	0	0	0
ASV_0064	778	0	0	0	42	23	440	0	5	68	0	590	0	0	208	0	3868	3378	13	17	28	94	299	0	2086	105	0	0	0	321	601	157	148	0	1117	0	11	1306	459	424	0	0	0
ASV_0065	18	85	0	0	35	2186	0	0	148	904	0	0	332	1714	0	782	0	0	431	672	0	0	17	0	1619	1654	0	7	295	0	0	46	132	1144	1104	46	47	0	0	0	2988	0	0
